"DrawRank";"WinnerStatus";"EntryId";"PublicXUsername";"PublicTelegramUsername";"WalletMasked";"PublicStatus";"DrawInput";"RandomScore"
"34";"WINNER";"234";"@tahutumbassk";"@tumbastahu";"0x0208...f993";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|234|@tahutumbassk|@tumbastahu|0x0208...f993";"17709bf601aae485ce3211aca0f4f7af4aa013d20cc9b90b97888448f1cb5bc9"
"35";"WINNER";"274";"@ajstyesisbest";"@oxmanu27";"0xdabf...39d2";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|274|@ajstyesisbest|@oxmanu27|0xdabf...39d2";"1904ced540ab4dd64015885df3546ad6315d74bfccf16d1b9ced756d3d9cc0c4"
"36";"WINNER";"56";"@akotako22";"@kotakkotak1";"0xc9be...d89a";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|56|@akotako22|@kotakkotak1|0xc9be...d89a";"1baf3e478505c37c1952f684fba9522d1cf943fb792515d43948c59bc26afc49"
"37";"WINNER";"190";"@dodet7171";"@dodet31";"0xde93...bfdd";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|190|@dodet7171|@dodet31|0xde93...bfdd";"1bbf5250e093aa2c7678156ef03b53c43bfa7378fe4839f3ad888c25b95e84dc"
"38";"WINNER";"71";"@opeloye2020";"@temmynathy";"0xb601...ebe7";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|71|@opeloye2020|@temmynathy|0xb601...ebe7";"1c549c2a0f0ac11c755ae68f9d2db510acd9935da422ab1998ca1b18e50c28b8"
"39";"WINNER";"242";"@jewelrygem1";"@xiakaymia";"0xc5d0...b3e1";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|242|@jewelrygem1|@xiakaymia|0xc5d0...b3e1";"1c6f0731ec063a543d119db63caba09bf2270b8bf54c70ab483645ab35cee56f"
"40";"WINNER";"55";"@dedo3ahmed";"@moody3ahmed";"0xdfd4...769e";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|55|@dedo3ahmed|@moody3ahmed|0xdfd4...769e";"1e044dfd9cf6572b513f54898c230ddc82700f9f430715e9107b5a06a6732c59"
"41";"WINNER";"32";"@azkadina_davira";"@azkadinadv";"0x2808...5c64";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|32|@azkadina_davira|@azkadinadv|0x2808...5c64";"1ed9a36d6dc03640ebe086881ac4a4b6e16fd11f6bf7a54679f8a2db5fb7d353"
"42";"WINNER";"48";"@abdullahi627";"@musa6035";"0x6196...2821";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|48|@abdullahi627|@musa6035|0x6196...2821";"20782184271d1060e99294e1b63ac0c32673fd5c6172bbdf6b8973105f98abcb"
"43";"WINNER";"131";"@lil_krypt";"@krypt_dawg";"0x3167...8097";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|131|@lil_krypt|@krypt_dawg|0x3167...8097";"2087e0da158f02d391a45934aed460f7bd9716745fdc91f4d3fe689152fd2272"
"44";"WINNER";"7";"@setyajotwo";"@galerwin";"0x51ae...00c0";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|7|@setyajotwo|@galerwin|0x51ae...00c0";"2090a794b6e6920a9a05cb1ed6ec375607a1002a91d373dac4f68429d2570bea"
"45";"WINNER";"254";"@lesfanisa";"@lesfanisa";"0xf54d...3bb2";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|254|@lesfanisa|@lesfanisa|0xf54d...3bb2";"21c0669e79d00e67a57e5fe8b071bf695b5d6b2849c3395940279fe684d6d116"
"46";"WINNER";"335";"@tamunopococ85";"@inyanabo";"0xcbdc...b4fd";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|335|@tamunopococ85|@inyanabo|0xcbdc...b4fd";"21e1dac2ed92a2a6e92a1b4db2eca90e59eaca48dd90f5c08675e09105689170"
"47";"WINNER";"306";"@demfaucet96887";"@deman071";"0x13b6...91cd";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|306|@demfaucet96887|@deman071|0x13b6...91cd";"2244e6edde855aa5e5d264078350f37b3e6077011955b426172eb60409e29207"
"48";"WINNER";"208";"@aersyakk";"@cindydyi";"0xd3ed...6a9a";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|208|@aersyakk|@cindydyi|0xd3ed...6a9a";"225c371b0e8387ba3628b102b6701106a9ea2aa174dfdb893e0769b11d4131fc"
"49";"WINNER";"90";"@inufelemuni1";"@inufelemuni1";"0xae3d...460f";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|90|@inufelemuni1|@inufelemuni1|0xae3d...460f";"22a85511d50e9ce0cb0ea13652fa2b348f12b167c04cc8194a8e096636df488c"
"50";"WINNER";"141";"@carolinerr91";"@breadedg";"0x75b0...1964";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|141|@carolinerr91|@breadedg|0x75b0...1964";"23f2d9564988d95d9ac4193ca46c0b70e72159c38b36291e69591d26c9a56903"
"51";"WINNER";"291";"@prengganis27";"@rengganisofficial";"0x4215...fd30";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|291|@prengganis27|@rengganisofficial|0x4215...fd30";"28c90ff8cd4473d62a65311adb1181c16f4e88b71874a00e19ef4bdee510f750"
"52";"WINNER";"68";"@yassirraheem12";"@oraheem9";"0x137d...db61";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|68|@yassirraheem12|@oraheem9|0x137d...db61";"2c59422567397090a39410db329f68cae2e25228a623fd4be941e8b8e2c91dd7"
"53";"WINNER";"227";"@amazonsungfno";"@spartons_x";"0xc5fe...7f71";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|227|@amazonsungfno|@spartons_x|0xc5fe...7f71";"2c710d3d561cecbee63e5d53ee4acb1fcff0bbe61c0dbf06da2861cd022b1c79"
"54";"WINNER";"189";"@urannau";"@nauraaa28";"0x7493...6653";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|189|@urannau|@nauraaa28|0x7493...6653";"2c7bd75dd8f417d0b58f22b207b8c6350369ea9b3b6ccf64221f5bf9d1385d4a"
"55";"WINNER";"30";"@hessennabi9997";"@alexzktv";"0xdd8f...5615";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|30|@hessennabi9997|@alexzktv|0xdd8f...5615";"2d48566022284d3006e82c522f6819c4ea1f685f4c1dcf9ab2d578dcf5d508a7"
"56";"WINNER";"297";"@zaynrae05";"@zaynrae";"0xaf33...56ac";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|297|@zaynrae05|@zaynrae|0xaf33...56ac";"2da7a4bdeadc0522185d4d839cafa1017afa677e79fa63bd4995acc68d1b4f74"
"57";"WINNER";"330";"@joygaol";"@joygaol";"0xbd98...97b1";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|330|@joygaol|@joygaol|0xbd98...97b1";"306248088d13417adf58a0d55ef108428c568e401733cbbc4f9e617978a0aa15"
"58";"WINNER";"315";"@smilobase";"@theshiash";"0xa00c...f947";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|315|@smilobase|@theshiash|0xa00c...f947";"30bcde60e239cd94b6200aa83df8227fa643860ff46c2c242d8c82b59f669671"
"59";"WINNER";"169";"@jeinje42";"@jenayaelara";"0xa0d9...85be";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|169|@jeinje42|@jenayaelara|0xa0d9...85be";"31b1f6b8c52b3f8c663f7c6619006d460f6b12f6fde980ea589b18fc0890b9dd"
"60";"WINNER";"35";"@olakunmi92";"@thedonshow";"0xe3f9...931f";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|35|@olakunmi92|@thedonshow|0xe3f9...931f";"32348b992a60b7e0c935abff46f50e7d7a2895adea6488fa4a7a39bee92a38d3"
"61";"WINNER";"3";"@johnsmithlkkd";"@uncle_vdn";"0x1436...b120";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|3|@johnsmithlkkd|@uncle_vdn|0x1436...b120";"32c2f2285eb1737603a67b32ac93a1f10ce6f080de28459a12d273913e5cea5b"
"62";"WINNER";"65";"@donmikeal";"@neoliten";"0xc337...0d8a";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|65|@donmikeal|@neoliten|0xc337...0d8a";"3335b0d7d43b4d296edcaf3dc95e8cfc6e2651aea303168867f08b8722f70b80"
"63";"WINNER";"94";"@giande0";"@gian1857";"0x60cc...00db";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|94|@giande0|@gian1857|0x60cc...00db";"3346539587ba080e63e984b00ff4195645315e0b38ab63660fa7cfc2b39785a5"
"64";"WINNER";"198";"@luttvvidp";"@nadyalutvi";"0x7493...6652";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|198|@luttvvidp|@nadyalutvi|0x7493...6652";"3441a8efc4704ab52dd6176af304c2853b83a96ed78199b4f94244e9d525fcd8"
"65";"WINNER";"129";"@bodeolaose4433";"@kelvey001";"0xa90a...7a2f";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|129|@bodeolaose4433|@kelvey001|0xa90a...7a2f";"36428468d6e8ec6af36aac348759edebee0b582cb18646f60c8c6e8305f1da79"
"66";"WINNER";"344";"@iqbalv3c";"@itech407";"0xefa1...bd16";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|344|@iqbalv3c|@itech407|0xefa1...bd16";"375207533a0331e53a9d5d17af89e81e84ad386bba203f42408e8aaf99d76d6e"
"67";"WINNER";"16";"@chukwu_james0";"@james4live";"0x6966...bdd1";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|16|@chukwu_james0|@james4live|0x6966...bdd1";"37aa26049ba285b437040feabdad1b031335fd7a5c36926fa6ed1d388baa532e"
"68";"WINNER";"112";"@asifikaika";"@pushhi";"0x83c2...f943";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|112|@asifikaika|@pushhi|0x83c2...f943";"37bbfedc87e3da6bd44c9381b7f3b9a52374b494ade38cb93bb0e249cb37e39f"
"69";"WINNER";"264";"@nicoleb11570030";"@fundalisme";"0xc0b0...c56f";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|264|@nicoleb11570030|@fundalisme|0xc0b0...c56f";"388fa3671b0c858025eba3faff77f4d7f4ddd6fa36ef1324ea488af5940dacb1"
"70";"WINNER";"2";"@desmondwisdom12";"@i_live_crypto";"0xe043...49fa";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|2|@desmondwisdom12|@i_live_crypto|0xe043...49fa";"398b2a49ba0e0c68ce31406903f13cc117e150f96879a85e6543133874533539"
"71";"WINNER";"58";"@rth_hriday";"@rth_hriday";"0xd3e7...844b";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|58|@rth_hriday|@rth_hriday|0xd3e7...844b";"3be88845a7ac4c3ed3bb060aff8d635cdc900046ce5418a6af9f10e2806eabd7"
"72";"WINNER";"341";"@fineanfil";"@anfilfine";"0xd5f4...36d2";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|341|@fineanfil|@anfilfine|0xd5f4...36d2";"3c01215ceab8bda124e87c78daf1a8125b998d699f5bdb10389ba9dccab9376d"
"73";"WINNER";"14";"@zaynulloh";"@nebula15";"0xfe7a...2af5";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|14|@zaynulloh|@nebula15|0xfe7a...2af5";"3d510b8834d7881ce4854a35aea9d828df035c6c62023b58d62d0b7cc542ec20"
"74";"WINNER";"111";"@arton_op";"@op_sunggu";"0x1390...e8d2";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|111|@arton_op|@op_sunggu|0x1390...e8d2";"3d9f832d7dcf77845f1a9300b122bc01358b0ce8d73ff9f6f06c6493a33ac1a4"
"75";"WINNER";"185";"@roi_small";"@bwaone";"0x3245...86af";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|185|@roi_small|@bwaone|0x3245...86af";"3f12a51a6a017db0d6b3a7114c9817f65849871243ed8f554978f1dbad989f1c"
"76";"WINNER";"78";"@agustian1987";"@agustian1208";"0xbd81...e20d";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|78|@agustian1987|@agustian1208|0xbd81...e20d";"406fe2e76256ec47f0a1cb9d922fef325a485aa8170df28cbe56d96d3adf58c1"
"77";"WINNER";"319";"@malingkucing12";"@sayutimalix";"0x3acd...2107";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|319|@malingkucing12|@sayutimalix|0x3acd...2107";"408ffd73b3f818859c4dfd114b6dec24f0511ece22affa225d7e4d0b44267bdc"
"78";"WINNER";"89";"@sindiemie";"@imgorgeousyeah";"0x4b99...f8a6";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|89|@sindiemie|@imgorgeousyeah|0x4b99...f8a6";"41a738230a4f14a94f3d1b29f7370dc640852f7b925d1200b3df0097cdf6f5f3"
"79";"WINNER";"175";"@popolpengg";"@penggantipopol";"0xe6d9...0da2";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|175|@popolpengg|@penggantipopol|0xe6d9...0da2";"43921f99c4b4802db5ce6976587d7d31b4596d4bd85bb6e28c280705c5b5caf9"
"80";"WINNER";"321";"@indi07300";"@jaelanimas747";"0xba90...8db7";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|321|@indi07300|@jaelanimas747|0xba90...8db7";"441589d52bdd2df08b1822329dbb8fd650a59a6631acf0b669ac3f1cb7f20c58"
"81";"WINNER";"110";"@famiisky";"@damabiye";"0xf66b...110d";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|110|@famiisky|@damabiye|0xf66b...110d";"4471dbc52031eafd83985aafeb13f76be9a870f837a73f80e97903b4d0635f70"
"82";"WINNER";"34";"@arai_rayden";"@arai_rayden";"0xf940...c348";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|34|@arai_rayden|@arai_rayden|0xf940...c348";"45f491b1b0fbacbc11e9be38a7bd4ef3b966286501f78ad543fbca7c91c0fb24"
"83";"WINNER";"312";"@gober09871466";"@clayid56";"0x8184...f552";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|312|@gober09871466|@clayid56|0x8184...f552";"45ffa6b19d987de116644716fcad8ea8c30c2d591246ea11f2e02ba8df156aed"
"84";"WINNER";"276";"@hestylasia";"@bandilofa";"0x7723...668c";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|276|@hestylasia|@bandilofa|0x7723...668c";"48530454c766f1d9ad7d126459559f3bb5503a95296bd90bd9266d387d84c32d"
"85";"WINNER";"273";"@keisyarina";"@chopernami";"0x7087...2e5f";"OK";"0x8826cb4f8553f7cb568fe1969e7951ed26e327ffadde0d70808bfd1976d5738f|273|@keisyarina|@chopernami|0x7087...2e5f";"49c2021c7617bcb77c4e3535af94651dcd980808d262c9abdb73aa54a3bc5407"
